Camptothecin	5-Fluorouracil	Afatinib	Taselisib	PD0325901	Linsitinib	Sapitinib	Luminespib	Alpelisib	SCH772984
753565	-4.858818	3.911069	0.411454	0.369062	0.090297	2.122003	3.988499	-2.196718	2.242996	2.986919
753566	NA	NA	4.422072	NA	2.303602	NA	NA	NA	NA	NA
753569	-2.516114	4.305073	NA	2.950248	-1.165925	4.81101	4.251275	-3.017301	4.120501	0.818994
753572	-3.28912	4.290927	2.222548	3.18438	-0.020641	3.83551	5.128477	-3.524491	5.169531	2.655574
753573	-1.045508	3.345576	-0.381528	2.108879	NA	2.960568	-0.069824	-3.223148	2.831398	1.556994
753574	0.771646	5.384428	0.250065	0.981156	1.600267	5.853818	1.501899	0.48601	3.587662	2.220073
753575	2.169185	6.481483	0.011489	1.587823	0.134068	3.505663	0.460395	-2.514478	3.90585	2.587915
753576	1.916677	5.621365	3.071916	2.601717	3.059929	4.87679	5.822448	-0.650609	2.950379	4.499693
753583	0.688279	7.881374	4.560513	1.076562	2.220335	1.824385	5.423428	3.470726	3.057758	4.14049
753584	-2.919106	5.511188	2.293782	1.814928	1.119995	3.570306	4.351799	-3.071852	2.954598	3.129659
753585	-4.202557	5.366684	0.350774	1.209557	2.63305	4.043617	0.677138	-3.853544	4.429469	4.406629
753586	-1.426858	4.344835	2.147926	1.63673	2.272992	3.663314	5.273286	-1.533924	3.043312	3.789341
753589	-0.865251	7.780236	2.197349	3.180629	2.664601	3.88956	6.132538	1.911093	5.801966	6.032744
753592	-1.730596	4.915851	1.85616	1.904596	0.94961	3.224209	4.765097	-2.779056	3.479939	1.949093
753594	NA	NA	1.159343	NA	1.104842	NA	NA	NA	NA	NA
753600	1.035792	6.602807	NA	2.081245	2.959795	4.094627	3.532081	0.904595	3.686885	5.388293
753607	-0.513289	4.953409	0.642361	1.131873	0.169873	3.069985	4.505444	-2.607781	2.702385	2.826751
753608	-1.608937	4.489189	-2.867584	2.207055	NA	4.705522	-2.985726	-3.476073	4.127712	2.684728
753610	NA	NA	1.701302	NA	1.619952	NA	NA	NA	NA	NA
753612	-3.770258	3.977351	NA	2.058826	1.310388	2.546978	4.404191	-2.19486	2.91452	4.185504
753614	-4.069639	3.367809	-2.475999	0.633246	-0.39901	3.748864	-1.153106	-3.369701	3.014211	1.545328
753615	-1.293384	4.529052	2.241561	4.53284	NA	3.491025	3.809303	-2.948017	4.847773	0.980999
753616	-2.616148	5.715968	1.994765	1.801241	-0.937135	1.646193	5.173338	-2.21119	3.022693	0.837232
753618	-4.337626	2.04863	1.140955	2.92446	-0.017758	3.076249	4.084733	-1.544012	3.993872	2.42827
753620	NA	NA	2.084608	NA	-0.091602	NA	NA	NA	NA	NA
753621	-1.257903	7.199253	NA	2.140685	0.74604	3.189561	1.98252	-3.624964	4.206765	3.874545
753623	-2.570067	4.334388	1.840914	1.60117	0.55428	3.635267	2.399745	-2.743983	3.121063	2.70841
753624	NA	NA	1.856072	NA	NA	NA	NA	NA	NA	NA
905933	-0.267795	5.259982	NA	2.41138	2.237132	4.555662	4.002419	-1.327822	4.864824	4.262212
905934	-1.016106	4.831287	4.52368	3.126696	3.957179	5.494259	5.816809	-0.100217	4.617134	6.201445
905935	-3.161246	6.143014	3.458345	4.326355	NA	5.533989	5.423471	-1.305637	4.690862	5.056001
905938	-4.551981	3.006593	1.82684	1.177336	-3.145201	1.964349	2.951667	-3.335879	2.169817	0.128567
905940	-1.978469	5.74132	2.082658	4.774411	0.29904	4.616816	4.913997	-2.730067	5.169572	2.064426
905941	1.226427	8.095893	4.503287	4.480474	3.403742	4.091104	6.718007	0.985683	5.071243	4.191111
905942	-2.606447	5.411286	2.311298	5.122906	1.74666	4.110954	5.256699	-2.204633	5.20994	4.162533
905944	-1.673023	6.312732	2.281704	3.79219	1.650866	3.991032	3.647493	-0.438503	3.95614	3.947933
905947	-3.494502	4.187099	1.344344	2.797083	1.412749	3.708219	4.173126	-1.874894	5.223006	3.428381
905948	-0.524668	5.481413	1.959552	2.925075	1.838155	3.695082	5.28877	0.170888	5.070332	3.116844
905949	-3.187084	2.298731	1.029003	0.894536	-1.989476	3.213013	2.800145	-4.062721	2.762734	0.549216
905950	-4.133949	3.282776	0.114957	2.06514	0.639093	3.365956	1.684407	-2.166536	5.002881	2.665227
905952	NA	NA	0.66688	NA	-0.092136	NA	NA	NA	NA	NA
